date,open,high,low,close,volume
2020-07-27 17:42:00,203.9101,203.9101,203.9101,203.9101,1030.0
2020-07-27 17:41:00,203.96,203.96,203.96,203.96,441.0
2020-07-27 17:34:00,203.98,203.98,203.92,203.92,799.0
2020-07-27 17:26:00,203.98,203.98,203.98,203.98,266.0
2020-07-27 17:25:00,203.99,203.99,203.99,203.99,128.0
2020-07-27 17:19:00,203.92,203.92,203.92,203.92,127.0
2020-07-27 17:15:00,204.0,204.0,204.0,204.0,282.0
2020-07-27 17:14:00,204.04,204.04,204.04,204.04,155.0
2020-07-27 17:13:00,203.92,203.92,203.92,203.92,255.0
2020-07-27 17:12:00,204.0,204.0,204.0,204.0,328.0
