episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
104,11,-45.641227932954614,0.1866824784091556,11535.086226029829,16972.01936479048,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
105,3,-0.14146802010347784,-167.0953861389132,21246.697916666668,13664.232666015625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
106,3,-0.15276433076682638,-167.0238815792824,11848.345052083334,10964.698567708334,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
107,15,-0.09320303246536604,-33.37631578882876,14109.54443359375,21875.294140625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
108,15,166.62512201213096,-199.9584553454643,13240.16767578125,21935.921321614584,6.0,6.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
109,2,-0.1019214074362729,-250.96759181976634,16862.3330078125,30159.517578125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
110,1,-0.061352293074867274,-501.03877227537254,7676.1982421875,53606.3046875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
111,11,-0.08238293082876906,-45.55565525297922,20452.19367009943,21144.897727272728,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
112,13,-0.07271329847160041,-38.52502384146477,19999.08263221154,26165.585899939902,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
113,15,-0.11676584776215336,-33.73604739159683,14579.75340983073,19132.071712239584,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
114,5,-100.10228365669275,0.10228365669274372,14313.8373046875,28299.875390625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
115,8,-0.1302083590543907,-62.57859588750384,17310.799102783203,19974.143676757812,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
116,13,-38.57012356968082,0.06377505552225751,16745.91443810096,24950.679462139422,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
117,4,-125.10359309218593,0.10359309218592685,16866.163696289062,12724.580261230469,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
118,5,-100.09249787053633,-0.02242408005396974,16847.93798828125,19377.92724609375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
119,5,-0.06200539268278429,-100.3205218463396,6488.007275390625,17011.89130859375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
