episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2,ou_theta_0,ou_theta_1,ou_theta_2,ou_mu_0,ou_mu_1,ou_mu_2,ou_sigma_0,ou_sigma_1,ou_sigma_2,ou_dt_0,ou_dt_1,ou_dt_2,ou_x0_0,ou_x0_1,ou_x0_2
59,2,-0.08336198130298562,-250.88945814529126,-0.017266694838429693,173.16698741912842,15017.8642578125,3731.655448913574,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
60,12,-0.08259515966932902,-41.76938551907815,0.11056063852951144,8179.963340759277,16456.67588043213,11458.628314971924,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
61,12,-41.72589455965123,0.12393047056273661,0.05922789298456532,8595.338695049286,19383.11494954427,6919.219014485677,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
62,8,-0.07634361272365611,0.07719476878454415,-62.64015463777565,6763.862637042999,13325.411270141602,10918.77197265625,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
63,9,-0.1648885508109843,0.09459424230632532,-55.56454957140223,6149.644151475694,17785.9267578125,8040.8482496473525,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
64,4,-0.09842469369629302,-125.46689942701774,0.12993646006450044,4219.469955444336,9321.561279296875,12869.693115234375,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
65,6,16.639083675143652,-83.41427488957056,-16.639083675143652,4065.001298904419,19090.157389322918,7296.3838297526045,1.0,0.0,1.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
66,10,-50.09034915083875,0.14195728111469924,0.09034915083874154,8635.266083145141,13581.084130859375,7296.802526855468,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
67,5,-60.0138971657096,-100.10249226508367,-40.088775067513396,8201.732470703126,10621.69130859375,10377.88955078125,2.0,0.0,2.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
68,8,-50.03966126303732,-62.71678732208153,-12.549557037664558,6163.401824951172,12414.342300415039,9177.906021118164,1.0,0.0,1.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
